page|type|price|address_x|description|weblink|rooms|size|price2|1 zimmer|1.5 zimmer|13 zimmer|2 zimmer|2.5 zimmer|20 zimmer|3 zimmer|3.5 zimmer|4 zimmer|4.5 zimmer|5 zimmer|5.5 zimmer|6 zimmer|6.5 zimmer|7 zimmer|address_short_1|address_short_2|size_num|address_y|latitude|longitude|detail
6|2 Zimmer, 43m², CHF 2’200.– |2200|Tuggenerstr. 3, 8008 Zürich|Wohnung an zentraler Lage im Seefeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000997617|2 Zimmer|43m²|CHF 2’200.– |0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Tuggenerstr. 3|8008 Zürich|43.0|Lyrenweg, 8047 Zürich|47.375919342041016|8.481056213378906|lyrenweg 40 8047 zuerich 261 zuerich ch zh
6|3 Zimmer, 89m², CHF 4’220.– |4220|Forchstrasse 24, 8008 Zürich|Wohnen auf zwei Etagen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000996757|3 Zimmer|89m²|CHF 4’220.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Forchstrasse 24|8008 Zürich|89.0|Lyrenweg, 8047 Zürich|47.37596893310547|8.481195449829102|lyrenweg 40a 8047 zuerich 261 zuerich ch zh
6|6 Zimmer, 147m², CHF 6’370.– |6370|Forchstrasse 22, 8008 Zürich|6-Zimmer-Maisonette-Wohnung an bevorzugter Lage|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000996750|6 Zimmer|147m²|CHF 6’370.– |0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Forchstrasse 22|8008 Zürich|147.0|Lyrenweg, 8047 Zürich|47.3764762878418|8.480148315429688|lyrenweg 41 8047 zuerich 261 zuerich ch zh
6|6.5 Zimmer, 185m², CHF 8’923.– |8923|8002 Zürich|6 ½ Zimmer-Jugendstil-Wohnung mit 185m2 Netto-Wohnfläche mit Balkon und Veranda|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000992974|6.5 Zimmer|185m²|CHF 8’923.– |0|0|0|0|0|0|0|0|0|0|0|0|0|1|0||8002 Zürich|185.0|Lyrenweg, 8047 Zürich|47.37638473510742|8.480179786682129|lyrenweg 41b 8047 zuerich 261 zuerich ch zh
6|4.5 Zimmer, 108m², CHF 3’947.– |3947|Trichtenhausenstrasse 86, 8053 Zürich|Ihre neue 4.5-Zimmerwohnung in der Siedlung Verdiana!|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000968829|4.5 Zimmer|108m²|CHF 3’947.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Trichtenhausenstrasse 86|8053 Zürich|108.0|Röslistr. 57, 8006 Zürich|47.390933990478516|8.544818878173828|roeslistrasse 57 8006 zuerich 261 zuerich ch zh
6|4.5 Zimmer, 155m², CHF 3’950.– |3950|Hadlaubstr. 41, 8006 Zürich|Wohnung im schönen Kreis 6 gesucht?|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000962664|4.5 Zimmer|155m²|CHF 3’950.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Hadlaubstr. 41|8006 Zürich|155.0|Müllerstrasse 76, 8004 Zürich|47.37632369995117|8.528502464294434|muellerstrasse 76 8004 zuerich 261 zuerich ch zh
6|3 Zimmer, 65m², CHF 1’799.– |1799|Bombachstr. 24, 8049 Zürich|"Heimelige Wohnung in Höngg mieten, ""Befristet bis 31.03.2025"""|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000946253|3 Zimmer|65m²|CHF 1’799.– |0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Bombachstr. 24|8049 Zürich|65.0|Müllerstrasse 76, 8004 Zürich|47.37632369995117|8.528502464294434|muellerstrasse 76 8004 zuerich 261 zuerich ch zh
6|4 Zimmer, 77m², CHF 3’461.– |3461|Birmensdorferstrasse 32, 8004 Zürich|Charmante 4-Zimmerwohnung im Herzen Zürich`s|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000946243|4 Zimmer|77m²|CHF 3’461.– |0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|Birmensdorferstrasse 32|8004 Zürich|77.0|Staffelstrasse 5, 8045 Zürich|47.361183166503906|8.522086143493652|staffelstrasse 5 8045 zuerich 261 zuerich ch zh
6|4.5 Zimmer, 91m², CHF 2’740.– |2740|Dorfstr. 12, 8037 Zürich|Charmante Wohnung in ZH-Wipkingen|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4000934344|4.5 Zimmer|91m²|CHF 2’740.– |0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Dorfstr. 12|8037 Zürich|91.0|Rolandstrasse 3, 8004 Zürich|47.37883758544922|8.526875495910645|rolandstrasse 3 8004 zuerich 261 zuerich ch zh
7|2 Zimmer, 43m², CHF 2’200.– |2200|Tuggenerstr. 3, 8008 Zürich|Wohnung an zentraler Lage im Seefeld|https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=7/mieten/4000997617|2 Zimmer|43m²|CHF 2’200.– |0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Tuggenerstr. 3|8008 Zürich|43.0|Rolandstrasse 3, 8004 Zürich|47.37883758544922|8.526875495910645|rolandstrasse 3 8004 zuerich 261 zuerich ch zh
