price,address,rooms,size,latitude,longitude,distance_hospital,lr_day,lr_night,distance_ov,wbauj,modern,erstvermietung,zentral,see,neu,stöckig,traum,bijou,neubau,balkon,charmant,erstbezug,1 Zimmer,1.5 Zimmer,2 Zimmer,2.5 Zimmer,3 Zimmer,3.5 Zimmer,4 Zimmer,4.5 Zimmer,5 Zimmer,5.5 Zimmer,6 Zimmer,6.5 Zimmer,7 Zimmer,7.5 Zimmer,y0,y1999,y2000,y2001,y2003,y2004,y2005,y2006,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
5085,"Bremgartnerstrasse 51, 8003 Zürich",4.5,144,47.37092590332031,8.518403053283691,1.3515017564515401,41.4,34.9,0.10177052418948425,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2380,"Giesshübelstrasse 86, 8045 Zürich",2.5,83,47.35905456542969,8.51839542388916,1.2361490869166163,47.9,42.0,0.10489374849636442,1999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,"Wildbachstrasse 60, 8008 Zürich",2.0,52,47.35521697998047,8.557698249816895,0.259651851918238,44.6,35.9,0.06051516524657429,1999,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3150,"Pfirsichstrasse 9, 8006 Zürich",3.0,68,47.389434814453125,8.537554740905762,0.8993000846394884,38.1,32.0,0.16180557821851355,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,"Bändlistrasse 62, 8064 Zürich",2.0,52,47.397212982177734,8.483614921569824,3.474381494573343,61.5,55.3,0.1417044789657288,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,"Kügeliloostrasse 85, 8046 Zürich",2.5,55,47.414634704589844,8.530470848083496,1.274033057574774,44.9,35.5,0.11763216881568475,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3277,"Grimselstrasse 26, 8048 Zürich",3.5,90,47.385597229003906,8.488507270812988,2.133393461573787,37.3,30.4,0.19280948335784134,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3818,"Edisonstrasse 5, 8050 Zürich",4.5,109,47.40951919555664,8.545088768005371,0.4067018337112237,40.3,30.4,0.10553883736604981,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6850,"Gustav-Gull-Platz 11, 8004 Zürich",5.5,149,47.379425048828125,8.5318021774292,0.0724810531599642,48.1,40.9,0.1549465893384495,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2620,"Im Brächli 43, 8053 Zürich",4.0,80,47.36115646362305,8.580795288085938,0.9895085543678743,38.8,28.7,0.1730832975369088,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
